TICKET_LOCATION_STREET,ISSUE_DATE,ISSUE_TIME,FINE_AMOUNT,VIOLATION DESCRIPTION,TIME,DOW
BARNHART,18,18,18,18,18,18
LOT 45A - DPT SV VEH,18,18,18,18,18,18
21-HLTH CTR,17,17,17,17,17,17
23,17,16,17,17,16,17
LLC EAST,17,17,17,17,17,17
LOT 1E - BAKER CTR,17,17,17,17,17,17
EMU,15,15,15,15,15,15
HAMILTON SOUTH,15,15,15,15,15,15
LOT 14 - OREGON HALL,15,15,15,15,15,15
11,14,13,14,14,13,14
LOT 34B - OLUM,14,14,14,14,14,14
HAMILTON,13,13,13,13,13,13
LOT 54 - UOPD WEST,13,13,13,13,13,13
MOSS ALLEY,13,13,13,13,13,13
D CAMPUS OPS FENCE,12,12,12,12,12,12
LOT 27 - HENDRICKS,12,12,12,12,12,12
UOPD PROPERTY LOCKER,12,12,12,12,12,12
19 - CLINICAL SRVC,11,11,11,11,11,11
CARSON WEST,11,11,11,11,11,11
LOT 34A-MNH/15TH,11,11,11,11,11,11
WALTON WEST,11,11,11,11,11,11
10-LAWRENCE,10,10,10,10,10,10
18,10,9,10,10,9,10
JSS,10,10,10,10,10,10
1715 FRANKLIN,9,9,9,9,9,9
9,9,8,9,9,8,9
F COLUMBIA ST,9,9,9,9,9,9
17,8,8,8,8,8,8
99A,8,7,8,8,7,8
HAMILTON WEST,8,8,8,8,8,8
WALTON,8,8,8,8,8,8
19,7,7,7,7,7,7
D LOT 4 - RESTRICTED,7,7,7,7,7,7
GLOBAL SCHOLARS,7,7,7,7,7,7
PACIFIC,7,7,7,7,7,7
RILEY,7,7,7,7,7,7
WALTON SOUTH,7,7,7,7,7,7
22,6,6,6,6,6,6
JANE SANDERS,6,6,6,6,6,6
LLC WEST,6,6,6,6,6,6
MILLRACE,6,6,6,6,6,6
ROMANIA LOT,6,6,6,6,6,6
1686 MOSS STREET,5,5,5,5,5,5
23-JOHNSON HALL,5,5,5,5,5,5
34D,5,5,5,5,5,5
9-VILLARD&DEADY,5,5,5,5,5,5
99D,5,5,5,5,5,5
E LOT 5B - CANOE HSE,5,5,5,5,5,5
GSH CAGE,5,5,5,5,5,5
HAMILTON EAST,5,5,5,5,5,5
LLC,5,5,5,5,5,5
LLC NORTH,5,5,5,5,5,5
LLC SOUTH,5,5,5,5,5,5
LOT 7A - COMP CNTR,5,5,5,5,5,5
WALTON EAST,5,5,5,5,5,5
15W,4,4,4,4,4,4
1709 MOSS,4,4,4,4,4,4
1830 17TH AVE,4,4,4,4,4,4
19-CLINICAL SRVC,4,4,4,4,4,4
29,4,4,4,4,4,4
29A,4,4,4,4,4,4
29B-EMU,4,4,4,4,4,4
5A - FRANK BLVD,4,4,4,4,4,4
7B-MCKENZIE,4,4,4,4,4,4
AGATE A.,4,4,4,4,4,4
AGATE EAST,4,4,4,4,4,4
AGATE HALL WEST,4,4,4,4,4,4
BAKER CTR - CIRC/BRDWY,4,4,4,4,4,4
BEAN WEST,4,4,4,4,4,4
C 13TH AVE CLOSED,4,4,4,4,4,4
CAMPUS OPS,4,4,4,4,4,4
DUCK METERS,4,4,4,4,4,4
EARL EAST,4,4,4,4,4,4
GRAD VILLAGE,4,4,4,4,4,4
H BAKER CTR - CIRC/BRDWY,4,4,4,4,4,4
LAW NORTH,4,4,4,4,4,4
LOT 51 GRAVEL AREA,4,4,4,4,4,4
LOT 6B - 11TH,4,4,4,4,4,4
OPS SECURITY SPACES,4,4,4,4,4,4
WILLAMETTE HALL,4,4,4,4,4,4
1709 MOSS ST,3,3,3,3,3,3
21 - CLINICAL SRVC II,3,3,3,3,3,3
25 - JSMA,3,3,3,3,3,3
25-JSMA,3,3,3,3,3,3
BEAN NORTH,3,3,3,3,3,3
D DUCK METERS,3,3,3,3,3,3
DECOU WEST,3,3,3,3,3,3
F GLOBAL SCHOLARS 15TH,3,3,3,3,3,3
F GLOBAL SCHOLARS WEST,3,3,3,3,3,3
F MOON COURT,3,3,3,3,3,3
LLC FIRE LANE,3,3,3,3,3,3
MILLRACE GRAVEL LOT,3,3,3,3,3,3
MUSIC EAST,3,3,3,3,3,3
RAINIER BLDG,3,3,3,3,3,3
ROMAINIA,3,3,3,3,3,3
SRC SOUTH,3,3,3,3,3,3
STRAUB,3,3,3,3,3,3
UNKNOWN BY UOPD,3,3,3,3,3,3
WALTON BASEMENT,3,3,3,3,3,3
07B,2,2,2,2,2,2
13TH CLOSED STREET FAIR,2,2,2,2,2,2
15TH UOPD,2,2,2,2,2,2
1720 17TH,2,2,2,2,2,2
1790 MOSS ST,2,2,2,2,2,2
17TH ABANDONED HS,2,2,2,2,2,2
23 - JOHNSON HALL,2,2,2,2,2,2
24 TUC,2,2,2,2,2,2
26,2,2,2,2,2,2
26 WEST,2,2,2,2,2,2
27,2,2,2,2,2,2
3,2,2,2,2,2,2
AG,2,2,2,2,2,2
BOWERMAN,2,2,2,2,2,2
COLUMBIA A.,2,2,2,2,2,2
DOUGLAS HALL,2,2,2,2,2,2
"EC CARES, BACK LOT",2,2,2,2,2,2
EMU EAST,2,2,2,2,2,2
EMU NORTH,2,2,2,2,2,2
EMU WEST,2,2,2,2,2,2
F GLOBAL SCHOLARS CAGE,2,2,2,2,2,2
GLOBAL SCH FIRE LANE,2,2,2,2,2,2
GSH,2,2,2,2,2,2
GSH NORTH,2,2,2,2,2,2
GSH SW,2,2,2,2,2,2
H BARNHART FRONT,2,2,2,2,2,2
HAMILTON NORTH DOCK,2,2,2,2,2,2
HEDCO NORTH,2,2,2,2,2,2
HEM NORTH,2,2,2,2,2,2
L13,2,2,2,2,2,2
LOT 37 BEHIND A BENCH,2,2,2,2,2,2
LOT 37 SIDEWALK BR AREA,2,2,2,2,2,2
LOT 45B - DPT VISITOR,2,2,2,2,2,2
MILRICE FIELDS,2,2,2,2,2,2
MOON LEE,2,2,2,2,2,2
OREGON HALL,2,2,2,2,2,2
PACIFIC HALL,2,2,2,2,2,2
PLC EAST,2,2,2,2,2,2
PLC SOUTH,2,2,2,2,2,2
REC EAST,2,2,2,2,2,2
REC SOUTH,2,2,2,2,2,2
UOPD,2,2,2,2,2,2
UOPD PROPPERTY LOCKER,2,2,2,2,2,2
12B-12A,1,1,1,1,1,1
1320 BEACH,1,1,1,1,1,1
1364 COLUMBIA,1,1,1,1,1,1
13S,1,1,1,1,1,1
13TH CLOSED CONDON,1,1,1,1,1,1
13TH EMU,1,1,1,1,1,1
13TH HEALTH CLINIC,1,1,1,1,1,1
13TH SPACE 14,1,1,1,1,1,1
13TH SPACE 15 AND 14,1,1,1,1,1,1
13TH SPACE 2,1,1,1,1,1,1
13TH SPACE 20,1,1,1,1,1,1
13TH SPACE 5,1,1,1,1,1,1
13TH VOLCANOLOGY,1,1,1,1,1,1
13TH WILLAMETTE HALL,1,1,1,1,1,1
13TN AVE SERVICE VEH SP,1,1,1,1,1,1
14,1,1,1,1,1,1
14 - OREGONHALL,1,1,1,1,1,1
14-OREGONHALL,1,1,1,1,1,1
1450 E AGATE ST APT,1,1,1,1,1,1
1455 - 15TH ST,1,1,1,1,1,1
15,1,1,1,1,1,1
1572 VILLARD,1,1,1,1,1,1
1572 VILLARD-HOUSING,1,1,1,1,1,1
1600 MILLRACE,1,1,1,1,1,1
1720 17TH AVE,1,1,1,1,1,1
1728 COLUMBIA,1,1,1,1,1,1
1736 MOSS,1,1,1,1,1,1
1744 17TH AVE,1,1,1,1,1,1
178,1,1,1,1,1,1
1790 MOSS,1,1,1,1,1,1
1830 MOON LEE LANE,1,1,1,1,1,1
186,1,1,1,1,1,1
18TH & UNIVERSITY,1,1,1,1,1,1
20,1,1,1,1,1,1
21,1,1,1,1,1,1
2250 - PATTERSON,1,1,1,1,1,1
26WEST,1,1,1,1,1,1
34ETH AVE,1,1,1,1,1,1
36 SOUTH,1,1,1,1,1,1
5A,1,1,1,1,1,1
718,1,1,1,1,1,1
8TH AND HILYARD,1,1,1,1,1,1
8TH HILYARD,1,1,1,1,1,1
99,1,1,1,1,1,1
A LOT 20 - FIRE LANE,1,1,1,1,1,1
A ROUND WALNUT,1,0,1,1,0,1
ACE LOT,1,1,1,1,1,1
AGARE ALLEY,1,1,1,1,1,1
AGATE,1,1,1,1,1,1
AGATE APT,1,1,1,1,1,1
AGATE APTS,1,1,1,1,1,1
AGATE HALL EAST,1,1,1,1,1,1
AGATE STREET APARTMENTS,1,1,1,1,1,1
ALLEN HALL,1,1,1,1,1,1
ALLEN NORTH,1,1,1,1,1,1
BAKER CTR - HIGH/BRDWY,1,1,1,1,1,1
BARNHART EAST UOPD,1,1,1,1,1,1
BEAN NORTH WEST,1,1,1,1,1,1
BIKE PATY UOPD,1,1,1,1,1,1
C 13TH AVE CLOSED PORTION,1,1,1,1,1,1
C 13TH AVE EMU,1,1,1,1,1,1
C CARSON LOADING DOCK,1,1,1,1,1,1
C UNIVERSITY,1,1,1,1,1,1
C UNIVERSITY ST EMU,1,1,1,1,1,1
C UNIVERSITY ST JSS,1,1,1,1,1,1
CAMPUS OP,1,1,1,1,1,1
CAMPUS OPERATIONS,1,1,1,1,1,1
CARSON,1,1,1,1,1,1
CARSON HALL,1,1,1,1,1,1
CHAPMAN,1,1,1,1,1,1
COLUMBIA 150,1,1,1,1,1,1
COLUMBIA 1804,1,1,1,1,1,1
COLUMBIA NORTH,1,1,1,1,1,1
COLUMBIA SW,1,1,1,1,1,1
COLUMBIA WEST,1,1,1,1,1,1
CONDON EAST,1,1,1,1,1,1
DESCHUTES,1,1,1,1,1,1
DPT OFFICE,1,1,1,1,1,1
DROPPED OFF,1,1,1,1,1,1
DUCKS METERS,1,1,1,1,1,1
E LOT 5B,1,1,1,1,1,1
E8TH & HILYARD,1,1,1,1,1,1
EARL NE,1,1,1,1,1,1
EARL NORTH,1,1,1,1,1,1
EARL-MCLURE,1,1,1,1,1,1
EC CARES 18TH & HIGH,1,1,1,1,1,1
EDUCATION NORTH,1,1,1,1,1,1
ESLINGER,1,1,1,1,1,1
FENTON EAST,1,1,1,1,1,1
FINE ARTS STUDIO EAST,1,1,1,1,1,1
FORD ALUMNI,1,1,1,1,1,1
FROHNMAYER EAST,1,1,1,1,1,1
FRONMAYOR MUSIC TURN AROUND,1,1,1,1,1,1
GERLINGER,1,1,1,1,1,1
GSH WEST,1,1,1,1,1,1
H BAKER CTR - HIGH/BRDWY,1,1,1,1,1,1
H FAC SVCS SPACES,1,1,1,1,1,1
H LOT 1C BAKER CTR,1,1,1,1,1,1
HALDER H0USE,1,1,1,1,1,1
HAMILTON D.,1,1,1,1,1,1
HAMILTON DOCK,1,1,1,1,1,1
HAMILTON HALL,1,1,1,1,1,1
HAYWARD,1,1,1,1,1,1
HAYWARD FIELD,1,1,1,1,1,1
HAYWARD FIELD 2,1,1,1,1,1,1
HAYWARD FIELD SOUTH,1,1,1,1,1,1
HEDCO,1,1,1,1,1,1
HUESTIS,1,1,1,1,1,1
HUESTUS,1,1,1,1,1,1
JAQUA SOUTH,1,1,1,1,1,1
K LIBRARY NE,1,1,1,1,1,1
K-LIBRARY NORTH,1,1,1,1,1,1
KINCAID SOUTH,1,1,1,1,1,1
KNIGHT LIB,1,1,1,1,1,1
KNIGHT LIBRARY NW,1,1,1,1,1,1
L0T 23,1,1,1,1,1,1
LAW SOUTH,1,1,1,1,1,1
LAWRENCE HALL,1,1,1,1,1,1
LAWRENCE NW,1,1,1,1,1,1
LAWRENCE SOUTH,1,1,1,1,1,1
LCC NORTH,1,1,1,1,1,1
LCCC LOCKER 14,1,1,1,1,1,1
LIBRARY WEST,1,1,1,1,1,1
LILLIS SOUTH,1,1,1,1,1,1
LILLIS WEST,1,1,1,1,1,1
LOKEY NORTH,1,1,1,1,1,1
LOT 24 THOMSON,1,1,1,1,1,1
LOT 32E,1,1,1,1,1,1
LOT 34E ADA SIGN POST,1,1,1,1,1,1
LOT 36A MTR 3,1,1,1,1,1,1
LOT 4VFIRELANE,1,1,1,1,1,1
MARS,1,1,1,1,1,1
MATHEW KNIGHT AREA EAST,1,1,1,1,1,1
MCALISTER NORTH,1,1,1,1,1,1
MID UNIVERSITY,1,1,1,1,1,1
MILL RACE,1,1,1,1,1,1
MILLRACE BLD SOUTH,1,1,1,1,1,1
MILLRACE SB FIELD,1,1,1,1,1,1
MOON LEE LANE,1,1,1,1,1,1
MOSS 1709,1,1,1,1,1,1
MUSIC FROHNMAYER,1,1,1,1,1,1
N UNVIERSITY,1,1,1,1,1,1
N-UNIVERISTY,1,1,1,1,1,1
OREGON HALL NORTH WEST,1,1,1,1,1,1
OUTDOOR PROGRAM,1,1,1,1,1,1
OYNX BRIDGE,1,1,1,1,1,1
PATTERSON,1,1,1,1,1,1
PIONER CEMETARY,1,1,1,1,1,1
REC CENTER EAST,1,1,1,1,1,1
RIVERBANK N POLE YARD,1,1,1,1,1,1
SRC,1,1,1,1,1,1
SRC DRIVEWAY,1,1,1,1,1,1
SRC TENNIS COURT,1,1,1,1,1,1
STRAUB NORTH,1,1,1,1,1,1
STRAUB SOUTH,1,1,1,1,1,1
STROB,1,1,1,1,1,1
UNKNOWN UOPD,1,1,1,1,1,1
UNKNOWN UPOD,1,1,1,1,1,1
UOPD EVIDENCE RELEASE,1,1,1,1,1,1
VILLARD ALLEY NORTH,1,1,1,1,1,1
WALTON HALL,1,1,1,1,1,1
WALTON NORTH,1,1,1,1,1,1
WEST MILLRACE BIKE,1,1,1,1,1,1
WEST MILLRACE BIKE PATH,1,1,1,1,1,1
