ISSUE_DATE,ISSUE_TIME,FINE_AMOUNT,TICKET_LOCATION_STREET,VIOLATION DESCRIPTION,TIME,DOW
4/19/16,11:01,$10.00,LOT 17 - HEDCO,"PERMIT ISSUED, NOT DISPLAYED",11,Tue
4/19/16,11:05,$0.00,LOT 17 - HEDCO,"PERMIT ISSUED, NOT DISPLAYED",11,Tue
4/19/16,10:59,$10.00,LOT 17 - HEDCO,"PERMIT ISSUED, NOT DISPLAYED",10,Tue
2/20/17,10:05,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Mon
2/20/17,10:07,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Mon
4/14/16,10:14,$150.00,LOT 17 - HEDCO,RESERVE & TOW,10,Thu
2/25/16,8:35,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,8,Thu
2/21/17,11:21,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Tue
2/21/17,11:22,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Tue
4/22/16,14:18,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER,14,Fri
3/31/16,14:43,$40.00,LOT 17 - HEDCO,NO UO PERMIT,14,Thu
3/31/16,14:45,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Thu
3/31/16,14:46,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Thu
2/25/16,10:53,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Thu
2/25/16,10:54,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Thu
2/21/17,14:25,$10.00,LOT 17 - HEDCO,"PERMIT ISSUED, NOT DISPLAYED",14,Tue
2/21/17,14:28,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,14,Tue
2/21/17,16:58,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Tue
2/21/17,17:02,$40.00,LOT 17 - HEDCO,NO UO PERMIT,17,Tue
2/21/17,17:05,$40.00,LOT 17 - HEDCO,NO UO PERMIT,17,Tue
2/21/17,17:06,$40.00,LOT 17 - HEDCO,NO UO PERMIT,17,Tue
2/25/16,10:55,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Thu
5/18/16,16:24,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER,16,Wed
5/19/16,11:13,$150.00,LOT 17 - HEDCO,RESERVE & TOW,11,Thu
2/24/17,13:43,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,13,Fri
3/31/16,14:48,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Thu
3/30/16,8:28,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,8,Wed
11/17/15,16:32,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,16,Tue
3/31/16,14:41,$40.00,LOT 17 - HEDCO,NO UO PERMIT,14,Thu
4/27/16,16:32,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Wed
2/21/17,14:32,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Tue
2/21/17,14:33,$0.00,LOT 17 - HEDCO,MISUSE OF PERMIT,14,Tue
2/21/17,14:35,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Tue
2/21/17,14:36,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Tue
2/21/17,16:57,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Tue
2/21/17,17:10,$40.00,LOT 17 - HEDCO,NO UO PERMIT,17,Tue
2/21/17,17:11,$40.00,LOT 17 - HEDCO,NO UO PERMIT,17,Tue
2/21/17,17:12,$40.00,LOT 17 - HEDCO,NO UO PERMIT,17,Tue
5/26/16,16:46,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,16,Thu
5/26/16,16:48,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,16,Thu
3/1/17,12:21,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,12,Wed
2/21/17,17:08,$40.00,LOT 17 - HEDCO,NO UO PERMIT,17,Tue
2/22/17,14:11,$10.00,LOT 17 - HEDCO,"PERMIT ISSUED, NOT DISPLAYED",14,Wed
2/23/17,13:53,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,13,Thu
1/20/16,14:03,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Wed
4/29/16,17:01,$0.00,LOT 17 - HEDCO,"PERMIT ISSUED, NOT DISPLAYED",17,Fri
4/27/16,16:40,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,16,Wed
4/27/16,16:33,$0.00,LOT 17 - HEDCO,MISUSE OF PERMIT,16,Wed
4/27/16,16:43,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,16,Wed
4/27/16,16:44,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,16,Wed
2/21/17,11:19,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Tue
12/10/15,15:56,$40.00,LOT 17 - HEDCO,NO UO PERMIT,15,Thu
12/1/15,14:21,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Tue
12/1/15,14:19,$0.00,LOT 17 - HEDCO,"PERMIT ISSUED, NOT DISPLAYED",14,Tue
12/10/15,15:49,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER,15,Thu
3/15/16,10:27,$40.00,LOT 17 - HEDCO,NO UO PERMIT,10,Tue
3/15/16,10:29,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Tue
3/15/16,10:24,$40.00,LOT 17 - HEDCO,NO UO PERMIT,10,Tue
3/15/16,10:31,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Tue
1/14/16,16:38,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,16,Thu
1/7/16,10:51,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,10,Thu
1/7/16,10:55,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,10,Thu
2/21/17,14:26,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,14,Tue
3/1/17,12:27,$0.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,12,Wed
2/21/17,17:14,$40.00,LOT 17 - HEDCO,NO UO PERMIT,17,Tue
2/21/17,17:14,$0.00,LOT 17 - HEDCO,BOOT WARNING,17,Tue
2/22/17,14:15,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Wed
2/22/17,14:16,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Wed
2/22/17,14:17,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Wed
2/23/17,13:46,$40.00,LOT 17 - HEDCO,NO UO PERMIT,13,Thu
1/7/16,11:00,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Thu
10/28/15,14:45,$40.00,LOT 17 - HEDCO,NO UO PERMIT,14,Wed
1/7/16,10:57,$40.00,LOT 17 - HEDCO,NO UO PERMIT,10,Thu
1/14/16,16:44,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Thu
1/25/16,11:37,$0.00,LOT 17 - HEDCO,OVERTIME STREET MTR,11,Mon
1/28/16,14:05,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Thu
1/28/16,14:07,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Thu
7/22/16,7:57,$40.00,LOT 17 - HEDCO,NO UO PERMIT,7,Fri
1/18/17,13:15,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,13,Wed
9/26/16,16:57,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Mon
9/26/16,16:59,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Mon
1/11/16,16:23,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Mon
12/4/15,10:34,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Fri
1/11/16,16:24,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Mon
1/11/16,16:27,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,16,Mon
1/26/16,11:45,$0.00,LOT 17 - HEDCO,OVERTIME STREET MTR,11,Tue
1/7/16,14:20,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Thu
4/19/16,11:06,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,11,Tue
4/27/16,16:50,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,16,Wed
4/26/16,10:35,$10.00,LOT 17 - HEDCO,"PERMIT ISSUED, NOT DISPLAYED",10,Tue
4/26/16,10:36,$40.00,LOT 17 - HEDCO,NO UO PERMIT,10,Tue
4/27/16,16:54,$250.00,LOT 17 - HEDCO,ALTERING PERMIT,16,Wed
4/27/16,16:58,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER,16,Wed
4/1/16,11:31,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Fri
1/14/16,16:39,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Thu
1/14/16,16:41,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Thu
1/28/16,14:08,$0.00,LOT 17 - HEDCO,OVERLINE/TAKE THE SPACE OF,14,Thu
7/22/16,7:59,$40.00,LOT 17 - HEDCO,NO UO PERMIT,7,Fri
12/4/15,10:35,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Fri
1/11/16,16:29,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,16,Mon
1/11/16,16:30,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,16,Mon
1/7/16,14:19,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Thu
1/7/16,14:19,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Thu
1/7/16,14:17,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Thu
1/18/17,13:12,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,13,Wed
2/9/16,16:36,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,16,Tue
1/21/16,10:11,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Thu
10/10/16,8:58,$40.00,LOT 17 - HEDCO,NO UO PERMIT,8,Mon
4/1/16,11:33,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Fri
11/28/16,16:56,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER,16,Mon
1/19/17,10:21,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Thu
1/19/17,10:23,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Thu
1/19/17,10:26,$75.00,LOT 17 - HEDCO,RESERVED SPACE,10,Thu
4/26/16,10:29,$150.00,LOT 17 - HEDCO,RESERVE & TOW,10,Tue
4/19/16,11:10,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Tue
4/19/16,11:11,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Tue
4/19/16,11:12,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Tue
4/21/16,12:58,$0.00,LOT 17 - HEDCO,OVERTIME STREET MTR,12,Thu
1/21/16,10:05,$40.00,LOT 17 - HEDCO,NO UO PERMIT,10,Thu
1/28/16,17:00,$40.00,LOT 17 - HEDCO,NO UO PERMIT,17,Thu
2/29/16,16:34,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Mon
2/29/16,16:37,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Mon
1/21/16,10:12,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Thu
11/21/16,10:26,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,10,Mon
10/28/16,10:54,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Fri
11/8/16,17:02,$40.00,LOT 17 - HEDCO,NO UO PERMIT,17,Tue
1/18/17,13:10,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,13,Wed
1/18/17,13:11,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,13,Wed
11/29/16,11:26,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Tue
11/29/16,15:55,$40.00,LOT 17 - HEDCO,NO UO PERMIT,15,Tue
1/19/17,10:20,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Thu
1/19/17,10:28,$0.00,LOT 17 - HEDCO,MISUSE OF PERMIT,10,Thu
1/12/17,14:39,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Thu
1/12/17,14:41,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Thu
1/10/17,10:20,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Tue
1/10/17,10:17,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Tue
11/8/16,11:14,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Tue
1/18/17,14:26,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,14,Wed
1/13/17,10:50,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Fri
1/12/17,14:47,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Thu
11/28/16,17:00,$0.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,17,Mon
1/10/17,10:18,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Tue
1/13/17,10:47,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Fri
11/8/16,11:17,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Tue
11/8/16,11:16,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Tue
10/24/16,12:16,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,12,Mon
10/24/16,12:17,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,12,Mon
10/19/16,16:53,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Wed
10/19/16,11:00,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Wed
10/19/16,11:01,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Wed
7/6/16,9:07,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER,9,Wed
1/10/17,10:15,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Tue
1/10/17,10:16,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Tue
1/13/17,10:51,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Fri
1/13/17,10:42,$150.00,LOT 17 - HEDCO,RESERVE & TOW,10,Fri
1/12/17,14:46,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Thu
1/3/17,13:43,$40.00,LOT 17 - HEDCO,NO UO PERMIT,13,Tue
12/20/16,11:03,$40.00,LOT 17 - HEDCO,NO UO PERMIT,11,Tue
12/20/16,11:02,$40.00,LOT 17 - HEDCO,NO UO PERMIT,11,Tue
12/19/16,14:46,$40.00,LOT 17 - HEDCO,NO UO PERMIT,14,Mon
12/13/16,10:23,$0.00,LOT 17 - HEDCO,OVERLINE/TAKE THE SPACE OF,10,Tue
1/9/17,8:20,$150.00,LOT 17 - HEDCO,RESERVE & TOW,8,Mon
8/24/16,9:01,$40.00,LOT 17 - HEDCO,NO UO PERMIT,9,Wed
5/23/16,13:50,$150.00,LOT 17 - HEDCO,RESERVE & TOW,13,Mon
6/23/16,15:14,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,15,Thu
10/28/16,10:54,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Fri
10/19/16,11:03,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Wed
10/19/16,11:05,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Wed
10/21/16,8:09,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,8,Fri
2/11/16,16:12,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER,16,Thu
12/9/16,10:09,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Fri
10/7/16,7:55,$40.00,LOT 17 - HEDCO,NO UO PERMIT,7,Fri
11/8/16,17:03,$40.00,LOT 17 - HEDCO,NO UO PERMIT,17,Tue
12/9/16,10:07,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Fri
12/2/16,9:50,$0.00,LOT 17 - HEDCO,"PERMIT ISSUED, NOT DISPLAYED",9,Fri
7/28/16,9:20,$150.00,LOT 17 - HEDCO,RESERVE & TOW,9,Thu
5/2/16,13:46,$10.00,LOT 17 - HEDCO,"PERMIT ISSUED, NOT DISPLAYED",13,Mon
5/2/16,13:51,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,13,Mon
12/1/16,3:57,$35.00,LOT 17 - HEDCO,NO OVERNIGHT PARKING,3,Thu
11/29/16,14:35,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER,14,Tue
11/29/16,14:33,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER,14,Tue
11/28/16,14:37,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,14,Mon
11/28/16,16:54,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER,16,Mon
11/22/16,14:53,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Tue
11/22/16,14:55,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Tue
7/25/16,14:29,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Mon
7/28/16,9:24,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,9,Thu
8/5/16,13:55,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,13,Fri
10/19/16,16:55,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Wed
11/8/16,11:18,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Tue
12/13/16,10:22,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Tue
12/9/16,13:55,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,13,Fri
12/9/16,10:10,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Fri
12/7/16,11:37,$40.00,LOT 17 - HEDCO,NO UO PERMIT,11,Wed
12/7/16,11:34,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Wed
12/9/16,13:57,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,13,Fri
12/2/16,10:17,$40.00,LOT 17 - HEDCO,NO UO PERMIT,10,Fri
12/2/16,10:15,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Fri
12/2/16,10:16,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Fri
11/29/16,15:28,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,15,Tue
11/29/16,15:30,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,15,Tue
11/28/16,16:48,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Mon
11/29/16,14:32,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER,14,Tue
11/28/16,16:52,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER,16,Mon
11/21/16,10:31,$0.00,LOT 17 - HEDCO,NO UO PERMIT,10,Mon
11/21/16,10:34,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Mon
11/21/16,10:36,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Mon
11/21/16,10:37,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Mon
11/22/16,14:53,$40.00,LOT 17 - HEDCO,NO UO PERMIT,14,Tue
11/16/16,11:09,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Wed
11/16/16,11:10,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Wed
11/10/16,13:37,$40.00,LOT 17 - HEDCO,NO UO PERMIT,13,Thu
11/9/16,13:28,$150.00,LOT 17 - HEDCO,RESERVE & TOW,13,Wed
11/9/16,3:56,$35.00,LOT 17 - HEDCO,NO OVERNIGHT PARKING,3,Wed
11/14/16,16:12,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,16,Mon
11/14/16,16:13,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,16,Mon
11/10/16,11:31,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Thu
11/7/16,13:09,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,13,Mon
11/7/16,13:05,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,13,Mon
11/7/16,13:07,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,13,Mon
10/31/16,14:26,$40.00,LOT 17 - HEDCO,NO UO PERMIT,14,Mon
10/31/16,11:12,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Mon
10/31/16,11:13,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Mon
11/16/16,11:08,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Wed
10/28/16,8:19,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,8,Fri
10/28/16,10:45,$150.00,LOT 17 - HEDCO,RESERVE & TOW,10,Fri
10/28/16,10:50,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,10,Fri
10/28/16,10:52,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Fri
10/19/16,17:21,$40.00,LOT 17 - HEDCO,NO UO PERMIT,17,Wed
10/19/16,17:22,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,17,Wed
9/11/15,8:41,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER,8,Fri
11/14/16,16:04,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,16,Mon
11/14/16,16:05,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Mon
11/14/16,16:09,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Mon
11/14/16,11:07,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Mon
11/14/16,11:07,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Mon
11/14/16,4:05,$35.00,LOT 17 - HEDCO,NO OVERNIGHT PARKING,4,Mon
11/10/16,13:42,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,13,Thu
11/10/16,4:10,$35.00,LOT 17 - HEDCO,NO OVERNIGHT PARKING,4,Thu
11/9/16,3:55,$35.00,LOT 17 - HEDCO,NO OVERNIGHT PARKING,3,Wed
11/10/16,13:44,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,13,Thu
11/9/16,10:57,$150.00,LOT 17 - HEDCO,RESERVE & TOW,10,Wed
11/8/16,11:13,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Tue
11/8/16,11:12,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Tue
11/8/16,11:19,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Tue
11/7/16,13:12,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,13,Mon
11/3/16,10:15,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Thu
11/3/16,10:18,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Thu
11/3/16,10:16,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Thu
8/3/16,11:26,$40.00,LOT 17 - HEDCO,NO UO PERMIT,11,Wed
8/25/16,10:21,$150.00,LOT 17 - HEDCO,RESERVE & TOW,10,Thu
9/10/15,16:14,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER,16,Thu
11/10/16,11:30,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Thu
11/10/16,11:29,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Thu
10/26/16,16:24,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Wed
10/25/16,14:57,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Tue
10/26/16,16:22,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Wed
11/1/16,14:11,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Tue
11/1/16,14:12,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Tue
11/1/16,14:14,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Tue
10/28/16,10:52,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Fri
10/26/16,11:11,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,11,Wed
10/19/16,17:00,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,17,Wed
10/19/16,17:02,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,17,Wed
10/19/16,17:03,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,17,Wed
10/20/16,9:13,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,9,Thu
11/10/16,8:34,$40.00,LOT 17 - HEDCO,NO UO PERMIT,8,Thu
11/10/16,13:45,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,13,Thu
10/25/16,14:54,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Tue
10/25/16,14:56,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Tue
10/25/16,14:49,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,14,Tue
10/25/16,10:29,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,10,Tue
