ISSUE_DATE,ISSUE_TIME,FINE_AMOUNT,TICKET_LOCATION_STREET,VIOLATION DESCRIPTION,TIME,DOW
11/25/15,11:59,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Wed
4/21/16,10:35,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",10,Thu
6/20/16,12:21,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,12,Mon
3/31/16,16:21,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Thu
2/25/16,14:14,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Thu
6/22/16,11:43,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Wed
2/23/17,14:34,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Thu
2/23/17,14:38,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",14,Thu
3/2/16,11:53,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Wed
1/26/16,11:12,$35.00,LOT 56 - MILLRACE,NO PERMIT FOR AREA,11,Tue
3/4/16,3:35,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,3,Fri
3/28/16,14:04,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",14,Mon
2/25/16,14:14,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Thu
12/18/15,12:08,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,12,Fri
12/18/15,12:06,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,12,Fri
1/11/16,12:18,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,12,Mon
1/7/16,12:44,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,12,Thu
1/7/16,12:42,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",12,Thu
10/28/15,10:19,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,10,Wed
1/7/16,12:39,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,12,Thu
1/26/16,11:12,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Tue
9/4/15,16:19,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",16,Fri
5/9/16,14:16,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",14,Mon
4/26/16,11:04,$35.00,LOT 56 - MILLRACE,NO PERMIT FOR AREA,11,Tue
4/26/16,11:08,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Tue
7/26/16,10:59,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,10,Tue
10/3/16,11:21,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Mon
10/11/16,10:22,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,10,Tue
11/21/16,15:38,$35.00,LOT 56 - MILLRACE,OVERLINE/TAKE THE SPACE OF,15,Mon
9/28/16,11:07,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Wed
1/26/16,11:13,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Tue
3/7/16,13:07,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",13,Mon
3/7/16,13:10,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Mon
1/26/16,11:14,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Tue
4/21/16,14:17,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Thu
4/19/16,13:07,$0.00,LOT 56 - MILLRACE,NO PERMIT FOR AREA,13,Tue
5/9/16,14:20,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",14,Mon
2/25/16,11:50,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Thu
2/25/16,11:49,$20.00,LOT 56 - MILLRACE,OVERTIME STREET MTR,11,Thu
7/11/16,10:38,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,10,Mon
10/17/16,11:18,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Mon
4/21/16,14:19,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Thu
1/3/17,11:32,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Tue
12/29/16,9:43,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,9,Thu
12/19/16,8:49,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,8,Mon
10/3/16,11:23,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Mon
10/3/16,11:24,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Mon
10/19/16,10:32,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",10,Wed
10/20/16,11:28,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Thu
10/12/16,13:19,$0.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Wed
10/11/16,10:25,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,10,Tue
7/25/16,9:09,$0.00,LOT 56 - MILLRACE,NO UO PERMIT,9,Mon
7/11/16,10:39,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,10,Mon
7/11/16,10:40,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,10,Mon
7/12/16,10:10,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,10,Tue
6/6/16,12:47,$35.00,LOT 56 - MILLRACE,NO PERMIT FOR AREA,12,Mon
1/3/17,11:28,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Tue
1/9/17,11:25,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Mon
3/16/16,13:40,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Wed
5/24/16,14:08,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Tue
7/12/16,10:41,$0.00,LOT 56 - MILLRACE,OVERLINE/TAKE THE SPACE OF,10,Tue
7/25/16,9:10,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,9,Mon
11/7/16,11:26,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Mon
11/20/15,10:34,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",10,Fri
8/2/16,11:51,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Tue
8/2/16,11:47,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Tue
9/14/16,8:53,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,8,Wed
10/19/16,11:38,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Wed
11/7/16,11:30,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Mon
8/9/16,15:07,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,15,Tue
6/14/16,10:52,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",10,Tue
8/1/16,14:52,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",14,Mon
8/1/16,14:53,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",14,Mon
7/12/16,10:12,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,10,Tue
2/9/16,17:20,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Tue
12/1/16,4:48,$35.00,LOT 56 - MILLRACE,NO OVERNIGHT PARKING,4,Thu
6/1/16,17:40,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Wed
6/1/16,17:41,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Wed
6/1/16,17:42,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Wed
7/29/16,17:23,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Fri
8/1/16,14:55,$35.00,LOT 56 - MILLRACE,NO PERMIT FOR AREA,14,Mon
10/12/16,15:23,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,15,Wed
12/8/16,4:47,$35.00,LOT 56 - MILLRACE,NO OVERNIGHT PARKING,4,Thu
12/7/16,10:13,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",10,Wed
11/28/16,11:58,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Mon
11/22/16,10:34,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",10,Tue
12/7/16,14:09,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Wed
12/6/16,11:15,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Tue
12/5/16,8:17,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,8,Mon
11/7/16,12:13,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,12,Mon
11/7/16,12:16,$35.00,LOT 56 - MILLRACE,AREA NOT DESIGNATED,12,Mon
11/2/16,13:12,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",13,Wed
10/18/16,11:39,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Tue
10/18/16,11:32,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Tue
11/15/16,11:18,$0.00,LOT 56 - MILLRACE,MISUSE OF PERMIT,11,Tue
11/9/16,4:57,$35.00,LOT 56 - MILLRACE,NO OVERNIGHT PARKING,4,Wed
11/2/16,13:03,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Wed
9/11/15,14:58,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Fri
9/11/15,16:13,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Fri
7/25/16,9:12,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,9,Mon
7/25/16,9:13,$0.00,LOT 56 - MILLRACE,NO UO PERMIT,9,Mon
9/9/15,15:10,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,15,Wed
9/8/15,15:35,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,15,Tue
9/8/15,14:31,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",14,Tue
10/21/16,11:28,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Fri
10/21/16,13:00,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Fri
10/26/16,11:45,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Wed
7/1/16,16:34,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Fri
6/3/16,13:40,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Fri
6/3/16,13:41,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Fri
5/27/16,17:05,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Fri
5/27/16,17:06,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Fri
5/16/16,14:08,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Mon
5/23/16,14:47,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Mon
5/16/16,14:04,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",14,Mon
9/11/15,16:15,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Fri
10/21/16,13:01,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Fri
10/10/16,12:30,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",12,Mon
6/1/16,17:45,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Wed
6/1/16,17:46,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Wed
6/1/16,17:47,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Wed
11/4/15,14:58,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Wed
10/18/16,11:41,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Tue
10/17/16,11:15,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Mon
10/14/16,13:16,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Fri
10/14/16,13:22,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",13,Fri
10/14/16,10:02,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,10,Fri
7/29/16,17:26,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Fri
7/27/16,15:02,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,15,Wed
7/27/16,15:04,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,15,Wed
7/29/16,17:24,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Fri
7/27/16,8:45,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,8,Wed
9/11/15,14:57,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Fri
7/22/16,8:49,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,8,Fri
9/8/15,12:23,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,12,Tue
7/5/16,13:08,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",13,Tue
7/5/16,13:10,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Tue
9/20/16,16:49,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Tue
10/10/16,12:28,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,12,Mon
7/1/16,16:36,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Fri
7/19/16,13:09,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Tue
10/13/16,8:21,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,8,Thu
9/21/15,13:53,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Mon
10/11/16,10:20,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",10,Tue
9/12/16,10:13,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,10,Mon
5/26/16,12:58,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,12,Thu
9/12/16,10:15,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",10,Mon
9/12/16,10:18,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",10,Mon
9/7/16,9:54,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",9,Wed
5/12/16,10:52,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,10,Thu
5/13/16,12:54,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,12,Fri
9/11/15,16:16,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Fri
5/12/16,10:45,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,10,Thu
5/12/16,10:47,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",10,Thu
5/13/16,12:55,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,12,Fri
5/16/16,12:17,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,12,Mon
6/1/16,17:43,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Wed
5/2/16,14:23,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",14,Mon
5/13/16,12:58,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,12,Fri
5/23/16,16:48,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Mon
6/1/16,11:50,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Wed
6/3/16,13:43,$35.00,LOT 56 - MILLRACE,NO PERMIT FOR AREA,13,Fri
7/27/16,15:06,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,15,Wed
10/3/16,11:20,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Mon
10/3/16,11:22,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Mon
10/3/16,11:24,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Mon
10/3/16,11:25,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Mon
10/3/16,11:19,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Mon
9/18/15,16:12,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Fri
9/18/15,16:13,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Fri
4/12/16,11:02,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Tue
10/13/16,10:05,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",10,Thu
5/2/16,14:21,$35.00,LOT 56 - MILLRACE,NO PERMIT FOR AREA,14,Mon
5/16/16,12:18,$35.00,LOT 56 - MILLRACE,NO PERMIT FOR AREA,12,Mon
4/12/16,11:00,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Tue
1/26/16,16:08,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Tue
9/18/15,16:16,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Fri
9/22/15,16:02,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Tue
10/3/16,11:15,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Mon
10/3/16,11:17,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Mon
10/3/16,11:20,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Mon
10/3/16,11:26,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Mon
10/3/16,11:15,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",11,Mon
10/30/15,16:21,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Fri
8/16/16,14:53,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Tue
8/16/16,14:54,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Tue
8/16/16,14:56,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Tue
9/23/16,14:28,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",14,Fri
9/23/16,14:29,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Fri
9/23/15,16:19,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Wed
8/23/16,14:38,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",14,Tue
8/18/16,11:39,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Thu
8/19/16,13:04,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Fri
8/22/16,9:18,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",9,Mon
9/20/16,9:24,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,9,Tue
8/16/16,13:08,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",13,Tue
8/16/16,13:09,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Tue
8/16/16,13:11,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Tue
8/17/16,14:55,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Wed
8/22/16,9:20,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",9,Mon
8/22/16,9:23,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",9,Mon
9/15/16,12:50,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",12,Thu
9/26/16,11:22,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Mon
9/26/16,13:33,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Mon
8/12/16,17:04,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Fri
8/15/16,9:18,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,9,Mon
9/20/16,9:22,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,9,Tue
9/20/16,9:22,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,9,Tue
9/12/16,14:43,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Mon
9/13/16,15:06,$0.00,LOT 56 - MILLRACE,NO UO PERMIT,15,Tue
9/15/16,10:38,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",10,Thu
9/13/16,15:09,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",15,Tue
8/16/16,14:54,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Tue
8/26/16,13:24,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Fri
8/26/16,15:00,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,15,Fri
8/24/16,16:48,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Wed
8/25/16,13:15,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",13,Thu
7/25/16,17:03,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Mon
7/25/16,17:04,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Mon
7/25/16,17:07,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Mon
8/22/16,11:25,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Mon
8/12/16,17:01,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Fri
8/12/16,17:02,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Fri
8/12/16,17:03,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Fri
8/11/16,14:02,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Thu
8/11/16,14:03,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Thu
8/3/16,17:07,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Wed
8/3/16,17:08,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Wed
9/8/16,9:16,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,9,Thu
9/6/16,14:48,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Tue
7/25/16,17:14,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Mon
7/18/16,13:19,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Mon
7/14/16,15:39,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,15,Thu
7/14/16,13:12,$0.00,LOT 56 - MILLRACE,NO PERMIT FOR AREA,13,Thu
7/18/16,13:16,$0.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",13,Mon
7/14/16,13:15,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,13,Thu
8/16/16,14:51,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,14,Tue
7/14/16,15:37,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,15,Thu
7/29/16,17:21,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Fri
7/29/16,17:17,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Fri
7/29/16,17:18,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Fri
7/27/16,17:03,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Wed
7/26/16,16:36,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Tue
7/26/16,16:38,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Tue
7/27/16,10:57,$0.00,LOT 56 - MILLRACE,NO UO PERMIT,10,Wed
7/27/16,10:58,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,10,Wed
7/27/16,11:01,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Wed
7/29/16,17:19,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Fri
7/26/16,16:33,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Tue
7/25/16,17:16,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,17,Mon
7/26/16,16:34,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Tue
7/25/16,11:43,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Mon
7/13/16,14:26,$10.00,LOT 56 - MILLRACE,"PERMIT ISSUED, NOT DISPLAYED",14,Wed
7/14/16,11:21,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Thu
7/25/16,11:46,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Mon
6/30/16,11:28,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,11,Thu
6/27/16,16:46,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Mon
6/27/16,16:47,$40.00,LOT 56 - MILLRACE,NO UO PERMIT,16,Mon
